2019-09-08 11:01:04.001,1,2,3,4,5,6,7,8,9
2019-09-09 11:00:46.1,20190909,160500,2674336,2680786,0,2666209,0,0,0
2019-09-09 11:00:46.2,20190909,162900,2666209,2668140,2666209,2668140,0,0,0
2019-09-09 11:01:05.200,1,2,3,4,5,6,7,8,9
2019-09-09 11:01:06.003,1,2,3,4,5,6,7,8,9
2019-09-10 20:00:10.1,20190910,143900,2683198,2687077,0,2668856,0,0,0
2019-09-10 20:00:10.2,20190910,162900,2669078,2672939,2664075,2668368,0,0,0
2019-09-10 23:50:13.100,1,2,3,4,5,6,7,8,9
2019-09-11 20:00:24.1,20190911,142400,2679064,2715951,0,2711599,0,0,0
2019-09-11 20:00:24.2,20190911,162900,2711754,2715906,2705045,2715906,0,0,0
2019-09-11 23:50:27.001,1,2,3,4,5,6,7,8,9
2019-09-11 23:50:27.002,1,2,3,4,5,6,7,8,9
2019-09-11 23:50:27.300,1,2,3,4,5,6,7,8,9
2019-09-12 20:00:23.1,20190912,142400,2728398,2728398,0,2710318,0,0,0
2019-09-12 20:00:23.2,20190912,160300,2710100,2715207,2708562,2709529,0,0,0
2019-09-12 23:50:27.500,1,2,3,4,5,6,7,8,9
2019-09-16 20:00:09.1,20190916,142300,2721289,2721289,0,2706308,0,0,0
2019-09-16 20:00:09.2,20190916,162800,2706416,2712455,2701991,2712455,0,0,0
2019-09-16 23:50:12.100,1,2,3,4,5,6,7,8,9
2019-09-16 23:50:12.200,1,2,3,4,5,6,7,8,9
2019-09-16 23:50:12.300,1,2,3,4,5,6,7,8,9
2019-09-17 20:01:24.1,20190917,143700,2694296,2695184,0,2672565,0,0,0
2019-09-17 20:01:24.2,20190917,162900,2672565,2679024,2669867,2679024,0,0,0
2019-09-18 20:00:06.1,20190918,161600,2679680,2680836,2673063,2675412,0,0,2679024
2019-09-18 20:00:06.2,20190918,162900,2675412,2675412,2675412,2675412,0,0,2675412
2019-09-19 20:00:09.1,20190919,162900,2682073,2682073,0,2646895,0,0,2675412
2019-09-20 20:00:20.1,20190920,142800,2653288,2656436,0,2647435,0,0,0
2019-09-20 20:00:20.2,20190920,160800,2647494,2648793,2641041,2643567,0,0,2647435
2019-09-23 20:00:12.1,20190923,142700,2646362,2648303,2618601,2621684,0,0,2643567
2019-09-23 20:00:12.2,20190923,162900,2621684,2632316,2620109,2622240,0,0,2621684
2019-09-24 20:00:22.1,20190924,142800,2630021,2639198,0,2626732,0,0,0
2019-09-24 20:00:22.2,20190924,161000,2626662,2631833,2625737,2628100,0,0,2626732
2019-09-25 20:00:12.1,20190925,142800,2616271,2619056,0,2595505,0,0,2628100
2019-09-25 20:00:12.2,20190925,160900,2595453,2598223,2592577,2594535,0,0,2595505
2019-09-26 20:00:03.1,20190926,142800,2607515,2609964,0,2595557,0,0,0
2019-09-26 20:00:03.2,20190926,160800,2595898,2604193,2591758,2604193,0,0,2595557
2019-09-27 20:00:02.1,20190927,142800,2597798,2601746,0,2599214,0,0,2604193
2019-09-27 20:00:02.2,20190927,160800,2599214,2600129,2592359,2595481,0,0,2599214
2019-09-30 20:00:29.1,20190930,93500,2584471,2587033,0,2580581,0,0,2595481
2019-10-08 20:00:28.1,20191008,142800,2584873,2618003,0,2599372,0,0,2582103
2019-10-08 20:00:28.2,20191008,160900,2599336,2600683,2588689,2589340,0,0,2599372
2019-10-09 20:00:21.1,20191009,142800,2573688,2586684,0,2574529,0,0,2589340
2019-10-09 20:00:21.2,20191009,160800,2574519,2574971,2567348,2568281,0,0,2574529
